game_time,job_ID,company_from,city_from,company_to,city_to,urgency,shortest_distance_km,ferry_time,ferry_price,cargo,company_truck,trailer_variant,trailer_definition,units_count,fill_ratio,trailer_place
69786,_nameless.1de.4183.d590,artemia,chios,eolo_lines,sangiovanni,1,931,1110,1585,used_plast,iveco_4x2_a,trailer.scs_curt_a,trailer_def.scs.box.single_3.curtain,33,1,0
69786,_nameless.1de.4183.d4c0,artemia,chios,icaria,kavala,0,26,690,1521,used_packag,mercedes_actros_2014_6x4_b,trailer.dryliner17,trailer_def.krone.dryliner.single_3.dryvan,33,1,0
69786,_nameless.1de.4183.d180,eolo_lines,athens,icaria,mitilini,0,11,675,1308,froz_octopi,iveco_h_4x2_a,trailer.scs_ref_a,trailer_def.scs.box.single_3.reefer,33,1,0
69786,_nameless.1de.4183.f130,eolo_lines,athens,fallow,timisoara,1,1307,0,0,protec_cloth,mercedes_6x2_b,trailer.kasbhr_sbt,trailer_def.kassbohrer.sbt.single_3_13.dryvan,34,1,0
69786,_nameless.1de.4183.d250,eolo_lines,athens,icaria,heraklion,2,8,540,760,oranges,mercedes_4x2_b,trailer.scs_ins_a,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1de.4183.d8d0,artemia,chania,tras_med,roma,0,1046,1110,1571,used_packag,daf_xf_euro6_4x2_b,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1de.4183.cb00,artemia,chania,fallow,vlore,1,887,540,826,used_plast,scania_streamline_4x2_norm_380,trailer.scs_dry,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1de.4183.d660,artemia,argostoli,tras_med,genova,0,968,1060,1505,used_plast,scania_r_6x4_top_620,trailer.scs_dry_ms,trailer_def.scs.box.single_3.dryvan_m,33,1,0
69786,_nameless.1de.4183.d320,marina,kalamata,icaria,athens,0,246,0,0,lux_yacht,man_tgx_2020_4x2,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69786,_nameless.1de.4183.c550,marina,kalamata,marina,rhodes,0,258,810,1889,yacht,scania_s2016_6x4_high_730,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69786,_nameless.1de.4183.c2e0,marina,kalamata,icaria,rhodes,1,301,810,1889,large_cont,volvo_fh2012_4x2_750,trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,36,1,0
69786,_nameless.1de.4183.e5d0,artemia,rhodes,brawen,lamia,2,222,810,1889,used_packag,daf_xgp25_4x2_530,trailer.scs_curt,trailer_def.scs.box.single_3.curtain,33,1,0
69786,_nameless.1de.4183.d800,artemia,rhodes,eolo_lines,cagliari,2,761,2220,3513,empty_palet,volvo_fh16_4x2_540,trailer.scs_dry,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1de.4183.c7c0,low_field,argostoli,te_logistica,parma,0,798,1060,1505,onion,man_tgx_euro6_4x2_xl,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1de.4183.e1c0,low_field,argostoli,fallow,zenica,1,1206,490,760,kr_vpv190xc,renault_premium_4x2_c,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69786,_nameless.1de.4183.e840,low_field,argostoli,cesare_smar,pescara,2,348,1060,1505,apples_c,mercedes_actros_2014_6x2_a,trailer.kasbhr_shg40,trailer_def.kassbohrer.shg.singl_3e_40.container,30,1,0
69786,_nameless.1de.4183.e290,low_field,argostoli,villco,skopje,1,660,490,760,rye,renault_magnum_6x2_a,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,33,1,0
69786,_nameless.1de.4183.dce0,artemia,mitilini,shuttle,vlore,0,761,730,1440,empty_palet,daf_xgp_4x2_530,trailer.scs_curt_a,trailer_def.scs.box.single_3.curtain,33,1,0
